GSS Code,Ward,Elaine Sheila BAGSHAW,Christopher James CHAPMAN,Rachel COLLINSON,Unmesh DESAI,Aaron Anthony Jose Hasan D'SOUZA,Amina May Kay GICHINGA,Peter James HARRIS,Rayne MICKAIL,Want of official mark,Writing identifying voter,Unmarked,Uncertain,Voting for too many
,Abbey AB,69,335,145,1906,14,7,157,71,0,0,14,1,8
E05000027,Alibon,56,232,94,714,6,11,522,29,0,0,14,1,7
,BD Postal Votes,418,1924,641,5770,71,47,2099,317,0,1,38,2,13
E05000028,Becontree,94,347,151,1236,13,10,453,53,0,0,33,1,8
E05000029,Chadwell Heath,64,444,112,982,6,8,407,37,0,0,23,0,7
E05000030,Eastbrook,66,411,111,700,6,12,663,22,0,0,12,2,4
E05000031,Eastbury,72,255,134,1118,7,12,415,46,0,0,13,0,8
E05000032,Gascoigne,68,207,100,1348,12,13,197,28,0,0,16,1,2
E05000033,Goresbrook,63,269,94,845,8,10,503,23,0,0,14,0,5
E05000034,Heath,65,261,96,878,17,16,500,15,0,0,16,1,5
E05000035,Longbridge,99,538,154,1739,7,12,320,86,0,0,22,1,16
E05000036,Mayesbrook,57,237,82,745,6,4,468,18,0,0,14,0,7
E05000037,Parsloes,62,241,96,718,10,12,419,38,0,0,7,0,14
E05000038,River,53,241,78,881,10,5,407,25,0,0,6,2,11
E05000039,Thames,75,263,88,1384,9,16,341,41,0,0,11,0,12
E05000040,Valence,46,270,99,865,14,8,449,36,0,0,8,0,5
,Village AB,68,302,87,854,6,14,543,24,1,0,15,0,12
E05000042,Whalebone,76,430,130,1013,7,3,417,34,0,0,23,0,2
,London,267,763,325,689,5,11,102,14,0,0,21,2,2
,London Postals,172,560,144,313,2,4,67,27,0,1,1,0,2
E05000475,Beckton,122,406,190,1323,21,12,207,61,0,0,20,3,13
E05000476,Boleyn,151,394,181,2459,20,20,147,115,0,0,25,0,16
E05000477,Canning Town North,120,404,191,1776,30,25,278,62,0,2,28,1,11
E05000478,Canning Town South,130,488,201,1541,19,19,338,68,0,0,36,2,11
E05000479,Custom House,103,332,131,1234,17,12,254,63,0,0,17,0,7
E05000480,East Ham Central,99,417,171,2685,14,15,126,99,0,0,20,3,20
E05000481,East Ham North,94,390,165,2906,13,14,65,159,0,1,31,4,23
E05000482,East Ham South,107,382,197,2110,23,25,258,95,0,0,49,3,15
E05000483,Forest Gate North,149,351,497,2156,18,38,177,90,0,0,32,4,11
E05000484,Forest Gate South,144,423,373,2264,20,55,124,110,0,0,46,1,15
E05000485,Green Street East,95,411,156,2784,16,20,76,152,0,0,51,3,22
E05000486,Green Street West,85,393,168,2518,29,20,46,155,0,0,46,0,15
E05000487,Little Ilford,87,314,161,2698,17,23,128,107,0,0,32,0,9
E05000488,Manor Park,91,315,223,2375,21,41,82,150,0,0,36,2,15
,Newham Postal Votes,715,2787,1198,10079,115,99,1054,846,0,3,63,7,22
E05000489,Plaistow North,125,367,190,2077,11,11,128,143,0,0,36,2,18
E05000490,Plaistow South,120,444,271,2017,13,33,214,91,0,0,26,1,10
E05000491,Royal Docks,116,412,227,1104,9,22,176,55,0,0,20,1,6
E05000492,Stratford and New Town,339,837,725,2797,21,35,209,98,0,0,59,3,17
E05000493,Wall End,111,495,137,2724,17,17,132,99,0,0,46,1,22
E05000494,West Ham,161,430,264,1792,14,48,195,69,0,0,28,2,20
E05009317,Bethnal Green,323,436,850,3003,16,61,327,132,0,0,79,6,30
E05009318,Blackwall and Cubitt Town,168,824,267,1048,4,12,181,84,0,0,49,4,10
E05009319,Bow East,336,537,770,2358,15,26,287,80,0,0,70,1,22
E05009320,Bow West,313,511,637,1895,10,29,264,57,0,0,41,1,3
E05009321,Bromley North,113,207,261,1531,10,10,100,85,0,0,63,0,20
E05009322,Bromley South,154,322,270,1878,16,11,108,103,0,0,51,1,21
E05009323,Canary Wharf,153,581,178,905,9,10,116,48,0,0,39,0,13
E05009324,Island Gardens,230,849,318,1148,13,11,230,56,0,1,42,3,15
E05009325,Lansbury,244,399,330,2382,19,18,285,133,0,0,63,8,23
E05009326,Limehouse,144,486,165,640,7,6,65,30,0,0,21,0,10
E05009327,Mile End,241,408,515,2652,14,29,205,153,0,0,97,1,21
E05009328,Poplar,65,127,117,891,5,9,65,52,0,0,35,1,17
E05009332,Shadwell,151,252,264,2048,10,22,122,154,0,0,44,8,18
E05009333,Spitalfields and Banglatown,185,333,368,1658,11,33,51,94,0,0,62,1,11
E05009329,St. Dunstan`s,172,295,336,2197,17,22,108,121,0,0,86,2,23
E05009330,St. Katharine`s and Wapping,377,867,345,1045,7,9,124,60,0,0,25,2,10
,St. Peter`s BG,264,359,882,2695,11,60,205,134,0,0,71,1,24
E05009334,Stepney Green,154,257,356,2044,21,17,151,119,0,1,65,6,16
,TH Postal Votes,1188,3982,1601,8370,57,73,989,965,0,3,58,5,40
E05009335,Weavers,210,306,523,1620,8,30,155,95,0,1,50,2,5
E05009336,Whitechapel,255,486,435,2050,15,31,70,146,0,0,58,4,17
