GSS Code,Ward,Francesco Rossano Alberto  FRUZZA,Dominic GILHAM,Meena HANS,Alex NIEORA,Onkar Singh  SAHOTA,Want of official mark,Writing identifying voter,Unmarked,Uncertain,Voting for too many
E05000170,Acton Central,295,1046,496,197,1809,0,0,44,1,14
E05000171,Cleveland,656,1559,482,203,1747,0,0,56,1,8
E05000172,Dormers Wells,136,651,206,123,2823,0,0,64,3,23
E05000173,Ealing Broadway,462,1763,521,163,1322,0,0,40,1,4
E05000174,Ealing Common,537,1437,460,181,1353,0,0,47,2,4
E05000175,East Acton,308,949,464,227,2197,0,0,59,0,7
E05000176,Elthorne,366,1045,710,231,1975,0,0,34,1,13
E05000177,Greenford Broadway,223,927,274,391,2531,0,0,47,1,15
E05000178,Greenford Green,241,1200,285,306,1802,0,0,62,0,13
E05000179,Hanger Hill,365,1791,415,157,1207,0,0,52,2,5
E05000180,Hobbayne,329,1020,479,264,2172,0,0,44,0,11
E05000181,Lady Margaret,141,734,211,132,2767,0,1,53,2,28
E05000183,North Greenford,231,1212,346,310,1948,0,0,54,1,16
E05000182,Northfield,437,1508,639,161,1769,0,0,50,1,5
E05000184,Northolt Mandeville,216,969,269,396,1807,0,0,60,0,16
E05000185,Northolt West End,180,811,214,403,2115,0,0,50,1,18
E05000186,Norwood Green,122,620,188,128,2468,0,0,49,1,21
E05000187,Perivale,253,1139,348,418,1892,0,0,64,3,8
,Postal AJ,1528,6660,1640,992,9198,0,2,65,3,18
E05000188,South Acton,331,1100,399,181,1855,0,0,61,1,15
E05000189,Southall Broadway,121,563,133,84,3415,0,0,42,2,31
E05000190,Southall Green,149,499,182,110,3455,0,1,66,1,21
E05000191,Southfield,839,1772,482,165,1221,0,0,29,0,4
E05000192,Walpole,472,1465,596,153,1904,0,0,33,0,9
E05000324,Barnhill AS,95,684,140,247,2008,0,1,58,1,9
E05000325,Botwell,148,730,138,279,2100,0,0,60,2,21
E05000326,Brunel,89,931,166,280,692,0,0,24,0,5
E05000327,Cavendish,241,2001,262,425,644,0,0,39,0,2
E05000328,Charville,100,1121,131,410,1262,0,0,45,1,4
E05000329,Eastcote and East Ruislip,241,2699,296,394,700,0,0,50,1,5
E05000330,Harefield,95,843,136,403,286,0,0,16,1,3
E05000331,Heathrow Villages,85,709,129,323,1061,0,0,35,1,5
E05000332,Hillingdon East,154,1303,193,392,897,0,1,29,0,5
E05000333,Ickenham,177,2073,216,380,594,0,0,41,0,1
E05000334,Manor,231,2003,229,453,666,0,0,25,1,2
E05000335,Northwood,206,1827,240,197,566,0,0,41,0,3
E05000336,Northwood Hills,159,1631,253,263,662,0,0,27,1,4
E05000337,Pinkwell,101,693,129,238,1968,0,0,22,0,13
,Postal AS,892,9495,1046,2055,5994,0,2,58,1,9
E05000338,South Ruislip,151,1275,220,380,779,0,0,26,0,1
E05000339,Townfield,114,631,140,297,2168,0,0,51,1,13
E05000340,Uxbridge North,198,1637,224,349,824,0,0,44,2,2
E05000341,Uxbridge South,172,987,273,346,922,0,0,39,1,4
E05000342,West Drayton,123,1148,197,527,1197,0,0,35,0,7
E05000343,West Ruislip,203,1797,228,405,581,0,0,18,1,2
E05000344,Yeading,125,655,149,250,1884,0,0,24,0,8
E05000345,Yiewsley,116,842,184,463,881,0,0,28,0,7
