GSS Code,Ward,Michael Adewale BUKOLA,Florence ESHALOMI,Robert FLINT,Amadu Santigie KANUMANSA,Rashid NIX,Kevin Leslie PARKIN,Idham RAMADI,Want of official mark,Writing identifying voter,Unmarked,Uncertain,Voting for too many
E05000416,Bishop`s,380,1084,475,10,266,22,150,0,0,24,3,4
E05000417,Brixton Hill,308,2400,576,19,814,37,84,0,0,34,3,9
E05000418,Clapham Common,298,1304,1206,9,383,12,51,0,0,32,3,7
E05000419,Clapham Town,278,1602,1007,11,434,15,79,0,0,52,0,9
E05000420,Coldharbour,171,2213,271,16,540,34,39,0,1,31,4,12
E05000421,Ferndale,338,2150,745,12,644,33,69,0,0,51,3,13
E05000422,Gipsy Hill,256,1944,575,8,644,28,115,0,0,38,1,6
E05000423,Herne Hill,372,2555,622,15,1386,31,75,0,0,26,2,4
E05000424,Knight`s Hill,264,2177,590,13,484,31,114,0,0,38,2,12
,Lambeth Postal Votes,1708,8464,5212,93,2108,140,533,0,1,118,4,16
E05000425,Larkhall,305,2214,795,21,550,36,85,0,0,40,2,12
E05000426,Oval,453,1944,683,15,512,27,101,0,0,45,6,11
E05000427,Prince`s,464,2241,766,18,490,29,155,0,0,42,1,9
,St.Leonard`s,350,1871,831,14,682,30,101,0,0,50,3,10
E05000429,Stockwell,345,2024,670,18,518,28,76,0,0,48,5,17
E05000430,Streatham Hill,501,2031,723,16,702,36,88,0,0,42,1,11
E05000431,Streatham South,254,2148,675,16,356,25,139,0,0,46,1,7
E05000432,Streatham Wells,565,1982,668,19,584,27,121,0,0,39,0,10
E05000433,Thornton,268,1907,854,12,398,15,85,0,0,61,2,9
E05000434,Thurlow Park,352,2029,810,14,683,29,146,0,0,29,5,7
E05000435,Tulse Hill,241,2581,423,19,825,34,84,0,0,46,0,10
E05000436,Vassall,390,2288,620,24,604,30,74,0,0,33,2,13
E05000534,Brunswick Park,291,2087,327,26,627,22,71,0,0,30,6,16
E05000535,Camberwell Green,227,2321,323,18,430,39,122,0,0,38,1,14
E05000536,Cathedrals,794,1476,503,14,381,30,154,0,0,32,4,5
E05000537,Chaucer,575,1731,508,13,384,23,118,0,0,25,1,8
E05000538,College,335,1843,801,15,411,14,84,0,0,30,0,5
E05000539,East Dulwich,621,1912,645,10,671,19,98,0,0,32,3,11
E05000540,East Walworth,392,1571,263,23,330,21,180,0,0,22,3,9
E05000541,Faraday,206,1451,214,30,260,13,121,0,0,41,2,7
,Grange BE,692,1542,623,14,390,22,211,0,0,34,4,7
E05000543,Livesey,216,1900,282,28,286,19,211,0,0,35,0,14
E05000544,Newington,630,2324,392,24,405,22,163,0,0,29,2,6
E05000545,Nunhead,206,2237,354,20,518,38,120,0,0,32,3,10
E05000546,Peckham,174,2237,230,24,350,22,79,0,0,28,3,19
E05000547,Peckham Rye,427,2248,608,12,728,34,111,0,0,35,0,5
E05000548,Riverside,808,1128,699,12,321,26,198,0,0,32,5,4
E05000549,Rotherhithe,568,1239,563,13,327,14,264,0,0,25,1,11
E05000550,South Bermondsey,535,1202,364,11,224,20,291,0,0,21,2,12
E05000551,South Camberwell,352,1976,412,17,684,21,73,0,0,21,0,9
,Southwark Postal Ballots,2732,8227,4321,130,1710,112,940,0,1,70,3,17
E05000552,Surrey Docks,915,906,722,10,366,19,203,0,0,20,5,7
E05000553,The Lane,334,2615,411,23,794,33,101,0,0,65,0,10
,Village BE,598,1620,1341,7,589,21,114,0,0,32,1,6
