Ward,Tim ALLEN,Jennette ARNOLD,Samir JERAJ,Sam MALIK,Bill MARTIN,Jonathan SILBERMAN,Terry STACY,Freddy VACHHA,Want of official mark,Writing identifying voter,Unmarked,Uncertain,Voting for too many
Brownswood,31,1526,498,219,12,4,180,50,0,0,21,0,7
Cazenove,66,1863,448,215,26,9,106,42,0,0,28,4,8
Clissold,49,2501,779,210,28,7,191,64,0,0,19,2,5
Dalston,28,1365,500,174,15,8,125,33,0,0,23,0,6
De Beauvoir,20,1468,382,338,17,3,139,64,0,0,23,1,6
Hackney Central,56,2324,581,180,20,13,148,65,0,0,38,1,18
Hackney Downs,76,2406,708,181,33,11,150,68,0,0,38,2,9
Hackney Postals,384,10845,1886,2816,67,43,856,693,0,1,66,9,31
Hackney Wick,50,1885,484,184,16,7,121,95,0,0,39,2,5
Haggerston,46,1951,447,250,17,9,116,102,0,0,37,3,11
Homerton,48,1993,455,168,32,4,102,67,0,0,28,1,7
Hoxton East & Shoreditch,31,1386,322,258,12,5,142,103,0,0,19,0,7
Hoxton West,55,1554,341,339,14,10,179,124,0,0,34,1,8
King`s Park,60,2178,511,156,20,9,91,83,0,0,27,1,13
Lea Bridge AM,117,2538,774,164,28,12,141,67,0,0,41,0,10
London Fields,29,2163,663,236,11,1,157,88,0,0,38,2,9
Shacklewell,29,1514,427,135,16,6,101,26,0,0,22,1,6
Springfield,38,1252,280,367,11,12,70,53,0,0,25,0,5
Stamford Hill West,22,978,221,247,8,10,59,29,0,0,14,0,0
Stoke Newington,61,2817,882,290,28,9,197,92,0,0,31,2,6
Victoria,55,2027,491,261,19,8,153,88,0,0,14,1,7
Woodberry Down,39,1344,224,199,14,10,99,56,0,0,16,0,4
Barnsbury,42,1740,334,640,9,10,291,215,0,0,20,1,5
Bunhill,46,1747,347,548,16,14,301,301,0,0,37,3,10
Caledonian,55,2063,409,379,13,8,207,243,0,0,43,3,9
Canonbury,39,1765,417,494,16,5,279,211,0,0,34,1,8
Clerkenwell,37,1505,403,442,13,8,221,218,0,0,51,4,14
Finsbury Park,60,2939,564,355,20,9,211,140,0,0,36,0,18
Highbury East,31,1997,637,504,10,7,568,96,0,0,38,1,10
Highbury West,53,3058,788,705,24,7,368,143,0,1,56,3,18
Hillrise,51,2424,503,349,14,7,279,105,0,0,41,0,7
Holloway,68,2608,549,485,28,7,267,235,0,0,34,3,11
Islington Postals,199,7718,1458,2807,43,28,1299,665,0,0,43,5,14
Junction,32,2262,500,361,25,8,257,165,0,0,28,0,9
Mildmay,42,2345,510,378,25,14,255,140,0,0,35,0,11
St. George`s,38,2443,571,350,28,7,266,128,0,0,41,2,7
St. Mary`s,29,1765,437,565,10,9,327,164,0,0,26,1,4
St. Peter`s,44,1722,347,652,20,5,310,203,0,0,34,0,7
Tollington,48,2947,552,294,19,7,260,99,0,0,54,4,6
Cann Hall,89,1723,275,251,17,6,249,134,0,0,31,0,14
Cathall,91,1644,247,226,16,6,123,123,0,0,29,1,14
Chapel End,93,1944,395,430,28,5,197,209,0,0,25,6,9
Chingford Green,45,688,212,1315,8,1,180,434,0,0,43,2,5
Endlebury,66,764,212,1402,9,7,163,427,0,0,35,1,10
Forest,98,1732,333,373,15,6,195,154,0,0,33,6,11
Grove Green,147,1994,492,350,27,14,208,110,0,0,20,5,9
Hale End and Highams Park,98,1469,319,896,24,10,218,324,0,0,46,4,12
Hatch Lane,54,988,264,1034,16,9,199,425,0,0,26,1,6
High Street,131,2332,551,342,27,7,221,150,0,0,32,1,11
Higham Hill,97,1904,264,304,29,8,161,213,0,0,42,2,9
Hoe Street,127,2296,518,380,24,12,181,132,0,0,60,5,11
Larkswood,51,991,145,971,16,5,138,380,0,0,35,0,7
Lea Bridge,197,2317,322,336,21,5,137,148,0,0,45,2,15
Leyton,118,1932,262,261,18,5,274,117,0,0,39,3,12
Leytonstone,134,2060,487,441,22,14,223,154,0,0,54,1,9
Markhouse,175,2106,424,314,32,6,141,128,0,0,22,0,9
Valley,72,1044,142,795,18,4,147,357,0,0,39,1,7
Waltham Forest Postals,675,7016,1028,3482,71,18,1039,1246,0,1,49,4,3
William Morris,93,2254,440,339,34,8,176,158,0,0,37,3,11
Wood Street,113,2183,439,428,24,10,153,169,0,0,26,2,7
