GSS Code,Ward,Tony DEVENISH,Clive Keith EGAN,Annabel Jean Charlotte MULLIN,Jennifer Dunham NADEL,Mandy Marie RICHARDS,Want of official mark,Writing identifying voter,Unmarked,Uncertain,Voting for too many
E05000250,Addison,1018,108,241,350,1184,0,0,34,3,4
E05000251,Askew,844,170,276,458,1961,0,0,31,6,4
E05000252,Avonmore and Brook Green,1051,115,225,317,1036,0,0,36,1,5
E05000253,College Park and Old Oak,299,199,87,160,1071,0,0,28,1,3
E05000254,Fulham Broadway,996,184,135,228,885,0,0,42,4,7
E05000255,Fulham Reach,940,164,226,327,1304,0,0,50,0,3
,H&Fpostals,6765,702,835,1001,4933,0,5,62,3,16
E05000256,Hammersmith Broadway,777,145,253,315,1369,0,0,39,2,2
E05000257,Munster,1403,132,203,253,634,0,0,38,1,6
E05000258,North End,855,133,211,302,1235,0,0,33,2,3
E05000259,Palace Riverside,1266,90,171,190,458,0,0,17,0,6
E05000260,Parsons Green and Walham,1607,137,195,166,493,0,0,27,0,3
E05000261,Ravenscourt Park,1251,80,340,394,1118,0,0,36,2,1
E05000262,Sands End,1250,160,158,210,998,0,0,34,1,5
E05000263,Shepherds Bush Green,597,139,202,399,1531,0,0,49,0,5
E05000264,Town AN,1279,112,151,212,721,0,0,27,2,9
E05000265,Wormholt and White City,573,190,172,294,1915,0,0,43,4,11
E05009388,Abingdon,1103,74,135,148,292,0,0,28,1,5
E05009389,Brompton and Hans Town,972,78,69,84,193,0,0,16,0,2
E05009390,Campden,1120,73,131,128,223,0,0,15,2,4
E05009391,Chelsea Riverside,865,127,122,172,580,0,0,24,4,5
E05009392,Colville,556,97,163,297,882,0,0,41,3,4
E05009393,Courtfield,1028,60,127,126,142,0,0,21,1,2
E05009394,Dalgarno,307,119,82,155,836,0,0,22,3,3
E05009395,Earl`s Court,818,83,260,195,429,0,0,26,4,3
E05009396,Golborne,291,93,81,171,1102,0,0,59,2,11
E05009397,Holland,873,67,125,170,368,0,0,26,2,1
E05009398,Norland,835,60,116,150,269,0,0,23,2,0
E05009399,Notting Dale,402,149,79,197,1106,0,0,40,2,8
E05009400,Pembridge,565,44,118,166,253,0,0,20,5,1
E05009401,Queen`s Gate,815,42,98,110,183,0,0,17,4,0
,RBKC Postal Batches,6510,409,626,610,1699,4,0,29,2,1
E05009402,Redcliffe,1101,56,128,132,288,0,0,39,1,1
E05009403,Royal Hospital,1275,138,99,124,253,0,0,33,1,2
E05009404,St Helen`s,478,88,98,214,598,0,0,27,3,3
E05009405,Stanley,1118,129,92,136,361,0,0,22,1,2
E05000630,Abbey Road,1340,90,151,179,453,0,0,37,1,2
E05000631,Bayswater,877,78,209,266,678,0,0,29,3,0
E05000632,Bryanston and Dorset Square,1037,81,177,245,501,0,0,24,2,4
E05000634,Church Street,420,155,88,143,1736,0,0,62,2,10
E05000633,Churchill,797,170,122,167,1049,0,0,50,4,5
E05000635,Harrow Road,502,122,147,277,1567,0,0,61,6,12
E05000636,Hyde Park,933,69,153,192,492,0,0,28,1,3
E05000637,Knightsbridge and Belgravia,812,36,53,63,94,0,0,19,1,2
E05000638,Lancaster Gate,979,94,173,245,651,0,0,39,5,3
E05000639,Little Venice,1010,104,143,201,731,0,0,32,2,6
E05000640,Maida Vale,786,113,167,237,981,0,0,38,3,4
E05000641,Marylebone High Street,1025,85,142,172,401,0,0,20,0,1
E05000642,Queen's Park,386,152,123,260,1880,0,0,57,1,8
E05000643,Regent's Park,1062,84,121,171,654,0,0,41,1,4
E05000644,St James's,918,141,191,237,638,0,0,29,2,0
E05000645,Tachbrook,981,148,178,208,664,0,0,45,0,5
E05000646,Vincent Square,993,180,196,245,888,0,0,33,1,3
E05000647,Warwick,1096,136,199,202,579,0,0,35,2,3
E05000649,West End,733,104,118,229,577,0,0,30,2,4
E05000648,Westbourne,410,106,129,201,1474,0,0,61,2,5
,Westminster Postal Votes,6875,514,767,849,3620,1,1,45,9,5
